timestamp (seconds since 01/01/1970), system, entity , value (°c)
1516839952.797, lauv-xplore-1, Power Supply, 14.000
1516839952.807, lauv-xplore-1, Power Supply, 14.000
1516839952.811, lauv-xplore-1, Water Quality Sensor, 14.045
1516839952.840, lauv-xplore-1, Motor Controller (MCU), 24.000
1516839952.840, lauv-xplore-1, Motor Controller (Bridge), 12.000
1516839952.840, lauv-xplore-1, Motor, 10.000
1516839952.861, lauv-xplore-1, Depth Sensor, 10.282
1516839952.961, lauv-xplore-1, Depth Sensor, 10.282
1516839952.974, lauv-xplore-1, Mainboard (Core), 26.625
1516839952.974, lauv-xplore-1, Mainboard (SuperIO), 23.062
1516839952.974, lauv-xplore-1, Mainboard (Board), 21.312
1516839953.008, lauv-xplore-1, Power Supply, 14.000
1516839953.017, lauv-xplore-1, Power Supply, 14.000
1516839953.023, lauv-xplore-1, Power Supply, 14.000
1516839953.031, lauv-xplore-1, Power Supply, 14.000
1516839953.038, lauv-xplore-1, Power Supply, 14.000
1516839953.045, lauv-xplore-1, Power Supply, 14.000
1516839953.052, lauv-xplore-1, Power Supply, 14.000
1516839953.060, lauv-xplore-1, Power Supply, 14.000
1516839953.062, lauv-xplore-1, Depth Sensor, 10.282
1516839953.068, lauv-xplore-1, Power Supply, 14.000
1516839953.076, lauv-xplore-1, Power Supply, 14.000
1516839953.083, lauv-xplore-1, Power Supply, 14.000
1516839953.090, lauv-xplore-1, Power Supply, 14.000
1516839953.097, lauv-xplore-1, Power Supply, 14.000
1516839953.106, lauv-xplore-1, Power Supply, 14.000
1516839953.113, lauv-xplore-1, Power Supply, 14.000
1516839953.121, lauv-xplore-1, Power Supply, 14.000
1516839953.127, lauv-xplore-1, Power Supply, 14.000
1516839953.135, lauv-xplore-1, Power Supply, 14.000
1516839953.141, lauv-xplore-1, Power Supply, 14.000
1516839953.149, lauv-xplore-1, Power Supply, 14.000
1516839953.156, lauv-xplore-1, Power Supply, 14.000
1516839953.162, lauv-xplore-1, Depth Sensor, 10.282
1516839953.163, lauv-xplore-1, Power Supply, 14.000
1516839953.171, lauv-xplore-1, Power Supply, 14.000
1516839953.200, lauv-xplore-1, Power Supply, 13.500
1516839953.208, lauv-xplore-1, Power Supply, 13.500
1516839953.215, lauv-xplore-1, Power Supply, 13.500
1516839953.224, lauv-xplore-1, Power Supply, 13.500
1516839953.231, lauv-xplore-1, Power Supply, 13.500
1516839953.237, lauv-xplore-1, Power Supply, 14.000
1516839953.244, lauv-xplore-1, Power Supply, 14.000
1516839953.251, lauv-xplore-1, Power Supply, 14.000
1516839953.258, lauv-xplore-1, Power Supply, 14.000
1516839953.262, lauv-xplore-1, Depth Sensor, 10.282
1516839953.266, lauv-xplore-1, Power Supply, 14.000
1516839953.273, lauv-xplore-1, Power Supply, 13.500
1516839953.280, lauv-xplore-1, Power Supply, 13.500
1516839953.288, lauv-xplore-1, Power Supply, 13.500
1516839953.294, lauv-xplore-1, Power Supply, 13.500
1516839953.301, lauv-xplore-1, Power Supply, 13.500
1516839953.311, lauv-xplore-1, Power Supply, 13.500
1516839953.318, lauv-xplore-1, Power Supply, 13.500
1516839953.325, lauv-xplore-1, Power Supply, 13.500
1516839953.332, lauv-xplore-1, Power Supply, 13.500
1516839953.339, lauv-xplore-1, Power Supply, 13.500
1516839953.347, lauv-xplore-1, Power Supply, 14.000
1516839953.354, lauv-xplore-1, Power Supply, 14.000
1516839953.361, lauv-xplore-1, Power Supply, 14.000
1516839953.362, lauv-xplore-1, Depth Sensor, 10.282
1516839953.370, lauv-xplore-1, Power Supply, 14.000
1516839953.376, lauv-xplore-1, Power Supply, 14.000
1516839953.406, lauv-xplore-1, Power Supply, 13.500
1516839953.413, lauv-xplore-1, Power Supply, 13.500
1516839953.420, lauv-xplore-1, Power Supply, 13.500
1516839953.428, lauv-xplore-1, Power Supply, 13.500
1516839953.434, lauv-xplore-1, Power Supply, 13.500
1516839953.441, lauv-xplore-1, Power Supply, 14.000
1516839953.449, lauv-xplore-1, Power Supply, 14.000
1516839953.455, lauv-xplore-1, Power Supply, 14.000
1516839953.461, lauv-xplore-1, Depth Sensor, 10.282
1516839953.463, lauv-xplore-1, Power Supply, 14.000
1516839953.469, lauv-xplore-1, Power Supply, 14.000
1516839953.477, lauv-xplore-1, Power Supply, 13.500
1516839953.484, lauv-xplore-1, Power Supply, 13.500
1516839953.492, lauv-xplore-1, Power Supply, 13.500
1516839953.499, lauv-xplore-1, Power Supply, 13.500
1516839953.506, lauv-xplore-1, Power Supply, 13.500
1516839953.513, lauv-xplore-1, Power Supply, 13.500
1516839953.520, lauv-xplore-1, Power Supply, 13.500
1516839953.529, lauv-xplore-1, Power Supply, 13.500
1516839953.536, lauv-xplore-1, Power Supply, 13.500
1516839953.544, lauv-xplore-1, Power Supply, 13.500
1516839953.551, lauv-xplore-1, Power Supply, 13.500
1516839953.558, lauv-xplore-1, Power Supply, 13.500
1516839953.561, lauv-xplore-1, Depth Sensor, 10.282
1516839953.565, lauv-xplore-1, Power Supply, 13.500
1516839953.573, lauv-xplore-1, Power Supply, 13.500
1516839953.602, lauv-xplore-1, Power Supply, 14.000
1516839953.661, lauv-xplore-1, Depth Sensor, 10.299
1516839953.761, lauv-xplore-1, Depth Sensor, 10.299
1516839953.801, lauv-xplore-1, Power Supply, 13.500
1516839953.811, lauv-xplore-1, Water Quality Sensor, 14.054
1516839953.861, lauv-xplore-1, Depth Sensor, 10.299
1516839953.962, lauv-xplore-1, Depth Sensor, 10.299
1516839953.977, lauv-xplore-1, Mainboard (Core), 26.000
1516839953.977, lauv-xplore-1, Mainboard (SuperIO), 23.000
1516839953.978, lauv-xplore-1, Mainboard (Board), 21.562
1516839954.002, lauv-xplore-1, Power Supply, 14.000
1516839954.062, lauv-xplore-1, Depth Sensor, 10.299
1516839954.162, lauv-xplore-1, Depth Sensor, 10.299
1516839954.262, lauv-xplore-1, Depth Sensor, 10.299
1516839954.362, lauv-xplore-1, Depth Sensor, 10.299
1516839954.461, lauv-xplore-1, Depth Sensor, 10.299
1516839954.502, lauv-xplore-1, Power Supply, 14.000
1516839954.561, lauv-xplore-1, Depth Sensor, 10.299
1516839954.601, lauv-xplore-1, Power Supply, 14.000
1516839954.608, lauv-xplore-1, Power Supply, 14.000
1516839954.661, lauv-xplore-1, Depth Sensor, 10.315
1516839954.703, lauv-xplore-1, Power Supply, 14.000
1516839954.761, lauv-xplore-1, Depth Sensor, 10.315
1516839954.811, lauv-xplore-1, Water Quality Sensor, 14.047
1516839954.840, lauv-xplore-1, Motor Controller (MCU), 23.000
1516839954.840, lauv-xplore-1, Motor Controller (Bridge), 12.000
1516839954.840, lauv-xplore-1, Motor, 10.000
1516839954.861, lauv-xplore-1, Depth Sensor, 10.315
1516839954.902, lauv-xplore-1, Power Supply, 14.000
1516839954.961, lauv-xplore-1, Depth Sensor, 10.315
1516839954.973, lauv-xplore-1, Mainboard (Core), 26.000
